model,feature_set,n_features_before_encoding,params,fit_time_sec,comment,val_mae,val_rmse,val_rmsle,val_r2
hist_gradient_lr_007_leaf_31,engineered,25,"{""l2_regularization"": 0.05, ""learning_rate"": 0.07, ""max_depth"": null, ""max_iter"": 350, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",4.042,Gradient boosting tuning: CP1-like learning rate with more iterations.,10342293.690372467,48372616.10279458,0.21052655823016708,0.7364124763678929
hist_gradient_lr_004_leaf_63,engineered,25,"{""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_depth"": null, ""max_iter"": 460, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 20}",9.834,Gradient boosting tuning: larger trees with stronger L2 regularization.,10470167.431703622,49353627.827930346,0.21106265415162426,0.7256127909812506
hist_gradient_lr_005_leaf_31,engineered,25,"{""l2_regularization"": 0.05, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 420, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",4.006,Gradient boosting tuning: lower learning rate and more iterations.,10565025.996044472,49132312.30776161,0.21305091456923794,0.7280681319161355
ridge_alpha_1,engineered,25,"{""alpha"": 1.0, ""max_iter"": null}",0.118,Regularized linear model with moderate penalty.,11934544.382664757,57162186.82772054,0.22670617093548137,0.6319190266332679
extra_trees_depth_18_leaf_2,engineered,25,"{""max_depth"": 18, ""max_leaf_nodes"": null, ""min_samples_leaf"": 2, ""n_estimators"": 260}",2.34,ExtraTrees tuning: randomized tree ensemble.,10958040.254799325,49322526.208635256,0.2339228105328093,0.7259585081231027
extra_trees_depth_none_leaf_3,engineered,25,"{""max_depth"": null, ""max_leaf_nodes"": null, ""min_samples_leaf"": 3, ""n_estimators"": 260}",2.391,ExtraTrees tuning: unrestricted depth with stronger leaf regularization.,11354306.497263908,50378014.44190335,0.23666828385041444,0.7141041891727135
random_forest_depth_20_leaf_2,engineered,25,"{""max_depth"": 20, ""max_leaf_nodes"": null, ""min_samples_leaf"": 2, ""n_estimators"": 260}",3.26,RandomForest tuning: deeper trees with moderate regularization.,11717336.68985554,51389118.806637414,0.2417547865523515,0.7025129671506483
random_forest_depth_14_leaf_3,engineered,25,"{""max_depth"": 14, ""max_leaf_nodes"": null, ""min_samples_leaf"": 3, ""n_estimators"": 220}",2.728,RandomForest tuning: shallower trees and stronger leaf regularization.,11992338.60183052,52102077.135481715,0.2468504397240416,0.6942012022402178
ridge_alpha_30,engineered,25,"{""alpha"": 30.0, ""max_iter"": null}",0.076,Regularized linear model with stronger penalty.,13015614.15837199,57930490.94661324,0.25096112620883276,0.6219579437288287
knn_raw_k10,raw,11,"{""n_neighbors"": 10}",0.028,Simple out-of-the-box KNN baseline without feature engineering.,13706059.866915306,57182153.74749276,0.2744397929300706,0.6316618381923108
ridge_pca_95,engineered,25,"{""alpha"": 10.0, ""max_iter"": null}",0.061,Dimensionality reduction: PCA keeps 95% of encoded-feature variance.,15685182.33329931,58802784.08755258,0.3135124978000094,0.6104874311291701
dummy_median_raw,raw,11,{},0.03,Baseline: constant median prediction on raw features.,31723884.163390663,97967046.40003537,1.096221604231818,-0.08114944103266297
