feature,importance_mean,importance_std
area,21100095.606429856,697144.8102415581
metro_station,3913406.5479705604,200505.3269779874
number_of_floors,2171942.8365820562,580750.0083461578
apartment_type,2138082.7566452147,206713.25451861977
renovation,1988124.817954929,243220.24261212532
area_per_room,1680193.262389332,131402.12767420203
is_moscow,1632674.6166832894,121879.4167007559
kitchen_area,742414.446939563,226134.3304413917
minutes_to_metro,673224.5113555323,105265.26425209467
living_area,650793.4943015829,78280.67031719028
room_area_interaction,553572.6273674614,58813.630248885594
floor,451711.9487615995,105192.59589612109
floor_ratio,420252.04438609665,47202.351126988695
kitchen_to_living_ratio,408550.2020726517,144220.55978096608
living_area_share,322388.9929376103,160204.48179446888
region,99137.64186639525,45890.862627291135
number_of_rooms,75103.7682419274,44915.4750213528
metro_distance_bucket,28637.461284099893,43330.51290502641
is_last_floor,5419.251151565835,1295.3705580916835
is_studio,0.0,0.0
minutes_to_metro_log,0.0,0.0
area_log,0.0,0.0
is_first_floor,-287.3077467881143,289.72439220031526
floor_category,-15175.931202121079,35056.8431558187
kitchen_area_share,-18999.240304034203,33121.470069809075
